Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
11,1788.0,0.0,9713.0,11.0,902.0,9713.0,0.4299103999999696,-21.0,-21.0,0.0,441.902713060379,,,,0.09545459401276377,0.039584543606205634,0.278445303440094,0.024763822555541992,1e-05,0.0,1e-05,1e-05,488.23157,209.97379,1372.198,85.066444,-2.009151083870446,0.5874355433442537,-0.5578644275665283,-2.8913474083526753,-1.8205142,0.14260317,-0.8118516,-2.361769
12,2014.0,0.0,10616.0,12.0,903.0,10616.0,0.42106099999996577,-20.0,-20.0,0.0,499.22738313674927,,,,0.09624544117368955,0.04566319913940386,0.26628509163856506,0.02533036842942238,1e-05,0.0,1e-05,1e-05,455.6133,219.90999,1593.3794,123.12225,-1.9405106418253326,0.7550266043099146,0.2574965746570448,-2.920579373894515,-1.794572,0.15480402,-0.9360139,-2.2591052
13,2249.0,0.0,11556.0,13.0,940.0,11556.0,0.4118489999999618,-21.0,-21.0,0.0,558.9361112117767,,,,0.11184260670809036,0.05648959988525546,0.4036479592323303,0.030809909105300903,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,463.55347,219.15662,1346.383,106.458145,-1.962571074323476,0.5107855588767415,-0.7105532272722921,-2.9090464711769246,-1.8667424,0.1483503,-1.0146999,-2.3225513
14,2574.0,0.0,12858.0,14.0,1302.0,12858.0,0.39908939999995624,-20.0,-20.0,0.0,641.523460149765,,,,0.10087122137729938,0.046268288467698204,0.4936997890472412,0.03445062041282654,1e-05,0.0,1e-05,1e-05,451.56924,211.31357,1396.3643,128.06685,-1.5453529500478906,0.6896749872882613,0.4796594773496936,-2.907707035599532,-1.8355824,0.1728651,-0.6238649,-2.355206
15,2819.0,0.0,13835.0,15.0,977.0,13835.0,0.3895147999999521,-20.0,-20.0,0.0,703.7177472114563,,,,0.12065815000382603,0.058158157081763154,0.3858637511730194,0.032083310186862946,1e-05,0.0,1e-05,1e-05,481.75223,222.4222,1444.8492,84.65823,-1.8295423908540278,0.7367602349462955,0.2191605558677192,-2.882077634392562,-1.7786832,0.17944331,-0.86780787,-2.3085124
16,3120.0,0.0,15042.0,16.0,1207.0,15042.0,0.37768619999994696,-21.0,-21.0,0.0,781.5644888877869,,,,0.10820104768406909,0.04070660076074631,0.27430036664009094,0.03149741142988205,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,478.65808,203.90175,1309.3932,124.16632,-1.6610710588078896,0.4924916486075458,-0.7105532272722921,-2.892051205096442,-1.8338531,0.14899582,-1.021606,-2.4693408
17,3415.0,0.0,16220.0,17.0,1178.0,16220.0,0.36614179999994195,-18.0,-18.0,0.0,857.2149140834808,,,,0.11800217864160635,0.050704243511182225,0.3364417552947998,0.0312531404197216,1e-05,0.0,1e-05,1e-05,490.10114,210.5498,1252.9579,86.69705,-1.4970265854032854,0.8466445774166075,0.14899473927676032,-2.895046532212081,-1.7627406,0.15163264,-0.68775916,-2.3180668
18,3669.0,0.0,17236.0,18.0,1016.0,17236.0,0.35618499999993763,-20.0,-20.0,0.0,922.4579541683197,,,,0.1194867963543323,0.04753115536935048,0.32970312237739563,0.046072207391262054,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,477.7538,190.92586,1157.0024,135.27177,-1.7626141541982454,0.6846362535325738,0.1365792878603319,-2.886797189770522,-1.7583799,0.16721901,-0.56952953,-2.2804317
19,3921.0,0.0,18246.0,19.0,1010.0,18246.0,0.34628699999993334,-20.0,-20.0,0.0,987.9427921772003,,,,0.11193953300752336,0.04483258273592907,0.3264339566230774,0.03990596532821655,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,469.44644,210.1108,1430.9142,123.9807,-1.7789552019568864,0.6998906876698086,0.09313815739588693,-2.8800483942611836,-1.7736857,0.15049659,-0.9395163,-2.3772745
20,4218.0,0.0,19433.0,20.0,1187.0,19433.0,0.3346543999999283,-19.0,-19.0,0.0,1065.6423122882843,,,,0.13520828044243358,0.05556719904149187,0.4554681181907654,0.04580381512641907,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,548.9755,224.42812,1431.3429,150.21262,-1.561429024943137,0.7630096401457218,0.11485061957129039,-2.90328115230638,-1.7580161,0.14194241,-1.0361503,-2.3261964
21,4565.0,0.0,20821.0,21.0,1388.0,20821.0,0.3210519999999224,-17.0,-17.0,0.0,1155.816120147705,,,,0.11224999273415945,0.03974795927326945,0.25408482551574707,0.043494466692209244,1e-05,0.0,1e-05,1e-05,448.52274,188.97725,1285.2886,71.9375,-1.2994297209721766,0.7883158535711136,0.15670728590922312,-2.8403906822784566,-1.7488976,0.16710256,-0.53961223,-2.3955653
22,4922.0,0.0,22249.0,22.0,1428.0,22249.0,0.30705759999991633,-17.0,-17.0,0.0,1250.0966970920563,,,,0.12959080645475402,0.047933167310040624,0.37662792205810547,0.04311494156718254,1e-05,0.0,1e-05,1e-05,531.7972,213.6716,1657.8464,86.15082,-1.2634268531625288,0.7582693675002461,0.5231968609925897,-2.833225548325362,-1.7008213,0.16593567,-0.6887471,-2.2839117
23,5287.0,0.0,23710.0,23.0,1461.0,23710.0,0.2927397999999101,-17.0,-17.0,0.0,1345.5373270511627,,,,0.1332010270798043,0.0518726175779111,0.3916926383972168,0.040710076689720154,1e-05,0.0,1e-05,1e-05,504.5051,207.93018,1361.1804,92.277115,-1.2262891825558742,0.7128615214977468,0.1828866216247763,-2.8236593455650394,-1.665907,0.17280403,-0.90043485,-2.3466194
24,5542.0,0.0,24730.0,24.0,1020.0,24730.0,0.2827437999999058,-20.0,-20.0,0.0,1413.7715051174164,,,,0.13275156249328862,0.044068282174133125,0.2717256546020508,0.0300317220389843,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,532.73914,201.76799,1261.7073,103.29299,-1.7258641656050218,0.7035544036177847,0.14328663779984618,-2.87957042461473,-1.6855371,0.17753023,-0.57984114,-2.43566
25,5846.0,0.0,25943.0,25.0,1213.0,25943.0,0.27085639999990063,-18.0,-18.0,0.0,1493.3199410438538,,,,0.1373390521940225,0.0453124827294617,0.3145051598548889,0.04324832186102867,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,566.2838,219.74756,1307.0645,106.553825,-1.4114616056945468,0.8684522584451949,0.4796594773496936,-2.854956209717574,-1.6329598,0.21125501,-0.55544126,-2.282194
26,6171.0,0.0,27244.0,26.0,1301.0,27244.0,0.2581065999998951,-17.0,-17.0,0.0,1576.7160172462463,,,,0.14066331337277707,0.05216507823860372,0.4149189889431,0.04375433176755905,1e-05,0.0,1e-05,1e-05,549.6653,228.44482,1382.7449,100.539085,-1.3137142943649533,0.7644495188153478,0.2343621255340821,-2.8646844626053,-1.6636958,0.18023314,-0.50221634,-2.2575862
27,6456.0,0.0,28383.0,27.0,1139.0,28383.0,0.24694439999989026,-20.0,-20.0,0.0,1650.3224592208862,,,,0.1469139254537591,0.061974167612287745,0.4025038480758667,0.0456119142472744,1e-05,0.0,1e-05,1e-05,551.6622,230.2545,1662.9274,150.4434,-1.6006951595904604,0.6427139647038306,0.09448784603502813,-2.8899737597091817,-1.6817989,0.17769325,-0.51532835,-2.3021736
28,6798.0,0.0,29753.0,28.0,1370.0,29753.0,0.23351839999988444,-17.0,-17.0,0.0,1738.5191831588745,,,,0.13878654252890257,0.04867753395810707,0.3271450996398926,0.04210492596030235,1e-05,0.0,1e-05,1e-05,532.2412,204.83305,1179.9181,114.40771,-1.2581212392593417,0.6772076542726234,0.390455715196239,-2.8083060831405704,-1.6400255,0.19477795,-0.57076496,-2.3942592
29,7152.0,0.0,31167.0,29.0,1414.0,31167.0,0.21966119999987843,-16.0,-16.0,0.0,1830.1860489845276,,,,0.13571364235785385,0.04741689727987529,0.3373647928237915,0.04053645581007004,1e-05,0.0,1e-05,1e-05,523.4811,197.70024,1179.6534,101.653755,-1.164489843527307,0.7900954774804415,0.24482095148997263,-2.77960008388597,-1.5943373,0.22123574,-0.3605375,-2.195096
30,7566.0,0.0,32824.0,30.0,1657.0,32824.0,0.2034225999998714,-15.0,-15.0,0.0,1937.5612123012543,,,,0.15588645671228857,0.06079897085552293,0.4401395618915558,0.054160669445991516,1e-05,0.0,1e-05,1e-05,566.4527,202.17294,1393.7594,125.65706,-1.023187037397277,0.7413461728038213,0.3161932441299643,-2.7128289938553,-1.5640042,0.19681807,-0.37763494,-2.2083395
31,7870.0,0.0,34041.0,31.0,1217.0,34041.0,0.19149599999986622,-19.0,-19.0,0.0,2017.0778901576996,,,,0.15188964113200965,0.050482905548574465,0.3787720203399658,0.05057872086763382,1e-05,0.0,1e-05,1e-05,580.8413,210.63681,1143.7626,157.79979,-1.4522904177571718,0.7190770182666824,0.20734723603511163,-2.7790877223594808,-1.6052184,0.20150517,-0.6152229,-2.4056895
32,8141.0,0.0,35126.0,32.0,1085.0,35126.0,0.1808629999998616,-19.0,-19.0,0.0,2090.6183841228485,,,,0.1526850596950063,0.05472739199464091,0.35335126519203186,0.05431029945611954,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,585.5669,219.88206,1244.579,169.43028,-1.5461567481200376,0.8443916367620665,0.8651130588739535,-2.825545489846053,-1.5721993,0.19448976,-0.6190306,-2.1796498
33,8422.0,0.0,36247.0,33.0,1121.0,36247.0,0.16987719999985684,-17.0,-17.0,0.0,2166.7577352523804,,,,0.14906229810523136,0.04908440900465097,0.31572896242141724,0.04451959580183029,1e-05,0.0,1e-05,1e-05,536.40594,195.76537,1224.7998,127.05509,-1.4042428446247668,0.8795920716993059,0.3774960328087186,-2.8230461478813313,-1.5806061,0.19700755,-0.25293642,-2.2264256
34,8731.0,0.0,37486.0,34.0,1239.0,37486.0,0.15773499999985158,-19.0,-19.0,0.0,2250.39368391037,,,,0.14825898862193704,0.04634902802544139,0.3485963046550751,0.057338979095220566,1e-05,0.0,1e-05,1e-05,553.24524,203.47272,1343.726,179.92667,-1.4178564928406585,0.7647603524221507,0.24176116196084407,-2.8173476905204837,-1.5567182,0.19888675,-0.17313358,-2.231164
35,9040.0,0.0,38721.0,35.0,1235.0,38721.0,0.14563199999984633,-19.0,-19.0,0.0,2332.734529018402,,,,0.15013472000499825,0.05139802375474631,0.43864667415618896,0.04347633942961693,1e-05,0.0,1e-05,1e-05,557.75464,216.31465,1261.6439,160.16211,-1.4202486638828056,0.6991484207983013,0.20652116725295533,-2.843976557312789,-1.5767403,0.20626728,-0.42769992,-2.201722
36,9401.0,0.0,40163.0,36.0,1442.0,40163.0,0.1315003999998402,-19.0,-19.0,0.0,2431.4482469558716,,,,0.15753578218190292,0.05230079371013239,0.37663790583610535,0.04753192886710167,1e-05,0.0,1e-05,1e-05,585.9286,221.07196,1317.8329,146.15015,-1.2831261302754566,0.6906618441343582,0.23129249891990222,-2.822270870266738,-1.5731136,0.20505027,-0.40147927,-2.1690736
37,9777.0,0.0,41670.0,37.0,1507.0,41670.0,0.1167317999998338,-17.0,-17.0,0.0,2533.8266439437866,,,,0.1475824571036278,0.04442952920433257,0.3198181986808777,0.06299659609794617,1e-05,0.0,1e-05,1e-05,555.3577,211.45497,1342.9275,95.8251,-1.1507792307950353,0.7707444912823062,0.8978131259059521,-2.783331677375037,-1.539263,0.21568456,-0.20703214,-2.1671782
38,10182.0,0.0,43290.0,38.0,1620.0,43290.0,0.10085579999982691,-14.0,-14.0,0.0,2643.6149592399597,,,,0.152603043243289,0.04776670925493225,0.3174208998680115,0.05060345306992531,1e-05,0.0,1e-05,1e-05,559.17505,205.2665,1282.1425,98.7215,-0.9832292618158677,0.8896453716718558,0.9906424971311709,-2.8651653379776065,-1.5455152,0.23901264,0.29564765,-2.2253273
39,10605.0,0.0,44980.0,39.0,1690.0,44980.0,0.08429379999981973,-14.0,-14.0,0.0,2759.507341146469,,,,0.15446715202553296,0.04969298587328092,0.429320752620697,0.049590278416872025,1e-05,0.0,1e-05,1e-05,558.3115,198.9244,1383.1866,144.94528,-0.9481407594130512,0.6991989345757453,0.3246488823717768,-2.7591717094757144,-1.5100216,0.2348928,0.548409,-2.2201922
40,11114.0,0.0,47015.0,40.0,2035.0,47015.0,0.06435079999981108,-10.0,-10.0,0.0,2900.8512229919434,,,,0.15271717140154661,0.049468748427112304,0.3955864906311035,0.05664782226085663,1e-05,0.0,1e-05,1e-05,555.06995,206.36143,1578.8116,143.04243,-0.7164193673805451,0.6067064669576167,0.4039672900184964,-2.417801010162166,-1.4728284,0.24658224,0.22743823,-2.1134162
41,11641.0,0.0,49124.0,41.0,2109.0,49124.0,0.04368259999981545,-9.0,-9.0,0.0,3045.5372331142426,,,,0.16180171567303406,0.05139633913910173,0.3353031277656555,0.05851598083972931,1e-05,0.0,1e-05,1e-05,599.23315,223.1488,1431.4949,151.30518,-0.6456968875460578,0.6357854346481193,0.5362118732303924,-2.198286354599776,-1.4237168,0.2634624,0.31365058,-2.1849895
42,12023.0,0.0,50654.0,42.0,1530.0,50654.0,0.028688599999818654,-15.0,-15.0,0.0,3151.562957048416,,,,0.15097544410543917,0.047403190807504936,0.32811182737350464,0.05548740178346634,1e-05,0.0,1e-05,1e-05,554.626,206.55013,1517.593,130.84422,-0.9741563151845501,0.8488640103592351,0.6959916596164702,-2.8106354922630374,-1.4121987,0.2974288,0.2725678,-2.394289
43,12471.0,0.0,52446.0,43.0,1792.0,52446.0,0.011126999999817255,-12.0,-12.0,0.0,3274.519458055496,,,,0.16161008435041047,0.04927596242870604,0.3439353406429291,0.053286269307136536,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,585.09436,203.29393,1241.204,97.322784,-0.7597035721273316,0.7728502279783723,0.5093302966523985,-2.6812876463516377,-1.3772565,0.30578643,0.39139402,-2.2878225
44,12930.0,0.0,54280.0,44.0,1834.0,54280.0,0.01,-11.0,-11.0,0.0,3401.702184200287,,,,0.15932301812557154,0.05249884255384861,0.356354296207428,0.059435635805130005,1e-05,0.0,1e-05,1e-05,567.56757,205.03333,1305.0339,101.370285,-0.6967566586373063,0.9028701749933363,1.1887807192295214,-2.835217103419501,-1.3679717,0.3330704,0.32336766,-2.2333498
45,13579.0,0.0,56878.0,45.0,2598.0,56878.0,0.01,-4.0,-4.0,0.0,3582.2971460819244,,,,0.16037749294162898,0.04921927659816815,0.4078559875488281,0.05789098143577576,1e-05,0.0,1e-05,1e-05,565.2601,194.17091,1170.4518,125.801506,-0.40824168389631443,0.5446798628546363,0.7684997671842575,-2.046288707031492,-1.3189174,0.32365474,0.47158682,-2.116497
46,14121.0,0.0,59044.0,46.0,2166.0,59044.0,0.01,-10.0,-10.0,0.0,3731.2126100063324,,,,0.1623334454272679,0.056570195519177746,0.5377969145774841,0.06564151495695114,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,565.6457,210.5975,1456.2406,180.70334,-0.5694300422517838,0.7641722739972587,1.3208001496284625,-2.681824371276099,-1.2953663,0.3631885,0.3868532,-2.1706762
47,14658.0,0.0,61194.0,47.0,2150.0,61194.0,0.01,-8.0,-8.0,0.0,3879.8935301303864,,,,0.16277744367135968,0.053513016560319086,0.351997435092926,0.05002407729625702,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,578.5946,216.22505,1166.9956,132.14937,-0.48657108673820265,0.7570451552093488,1.359836932086887,-2.4390278012140416,-1.2608024,0.38274816,0.52694494,-2.1089637
48,15206.0,0.0,63386.0,48.0,2192.0,63386.0,0.01,-6.0,-6.0,0.0,4036.0361709594727,,,,0.1630867415361474,0.05293863934077619,0.34730058908462524,0.04553743079304695,1e-05,0.0,1e-05,1e-05,558.2947,207.52927,1304.07,125.17746,-0.39482442869786044,0.7870300031257648,1.3607002252727172,-2.6882145703418874,-1.2062657,0.40586373,0.60332006,-2.105793
49,15692.0,0.0,65328.0,49.0,1942.0,65328.0,0.01,-11.0,-11.0,0.0,4174.879675149918,,,,0.15478440344180028,0.049041962706410654,0.33836156129837036,0.05806972458958626,1e-05,0.0,1e-05,1e-05,527.5333,189.10385,1440.1876,102.549065,-0.5783254084631003,0.913337586704053,1.4013394730179927,-2.7255761474945133,-1.2263517,0.4222506,0.73832244,-2.069535
50,16282.0,0.0,67687.0,50.0,2359.0,67687.0,0.01,-6.0,-6.0,0.0,4338.192873954773,,,,0.16684664072374167,0.053371781225889904,0.4065127670764923,0.06361513584852219,1e-05,0.0,1e-05,1e-05,580.634,207.62947,1544.343,142.96364,-0.3898475795388884,0.6699420097243721,1.1511784508186356,-2.51185545331079,-1.2111589,0.4012439,0.4906495,-2.1144536
51,16851.0,0.0,69966.0,51.0,2279.0,69966.0,0.01,-6.0,-6.0,0.0,4498.701668024063,,,,0.16314969717906314,0.053554472190294376,0.3769480586051941,0.049622174352407455,1e-05,0.0,1e-05,1e-05,562.93146,204.90764,1243.067,64.51763,-0.3573353157460593,0.7426465474254654,1.3791936988025328,-2.4910791937899073,-1.1694021,0.44378412,0.8287228,-2.1809905
52,17620.0,0.0,73040.0,52.0,3074.0,73040.0,0.01,1.0,1.0,0.0,4719.733229160309,,,,0.16717312944335086,0.05840861360642324,0.4125327169895172,0.05140196532011032,1e-05,0.0,1e-05,1e-05,568.21075,215.17229,1434.9008,110.23634,-0.1657864960486933,0.6061743632556501,1.4021572897225043,-1.9264023689399685,-1.146795,0.4521033,0.87556237,-2.148406
53,18291.0,0.0,75726.0,53.0,2686.0,75726.0,0.01,-4.0,-4.0,0.0,4914.797047138214,,,,0.16630382950788283,0.054988002295281085,0.43178245425224304,0.058288026601076126,1e-05,0.0,1e-05,1e-05,563.41895,202.46753,1419.243,76.93151,-0.24330877535410736,0.707368242929135,1.4093392172842643,-2.692637269258085,-1.110458,0.48106915,0.9010585,-2.1186888
54,18956.0,0.0,78384.0,54.0,2658.0,78384.0,0.01,3.0,3.0,0.0,5110.95765209198,,,,0.17181348767557955,0.06559104844361374,0.5926224589347839,0.05008038505911827,1e-05,0.0,1e-05,1e-05,543.64966,201.8005,1336.0481,76.7972,-0.04913635263202608,0.6219409305748025,1.4412412809222361,-2.40698198160253,-1.053508,0.49571487,1.0811102,-2.144814
55,19677.0,0.0,81267.0,55.0,2883.0,81267.0,0.01,1.0,1.0,0.0,5318.0485060215,,,,0.16482484873368736,0.0628269511881863,0.5074670314788818,0.0511787086725235,1e-05,0.0,1e-05,1e-05,536.1207,207.47823,1408.133,84.521736,-0.0749057205690387,0.6220127423710534,1.4329939501374385,-1.76587795615406,-1.023469,0.51423067,1.058116,-2.0498679
56,20365.0,0.0,84021.0,56.0,2754.0,84021.0,0.01,1.0,1.0,0.0,5517.268446922302,,,,0.1674042162918594,0.06004585317587489,0.4332430958747864,0.04664190113544464,1e-05,0.0,1e-05,1e-05,547.8804,216.13274,1420.4712,110.91628,-0.06255217642546103,0.6876901723134632,1.4510401206105372,-2.4712165363701386,-0.99739724,0.5238802,1.1658006,-2.106243
57,20865.0,0.0,86019.0,57.0,1998.0,86019.0,0.01,-10.0,-10.0,0.0,5660.887010097504,,,,0.16526736637204886,0.05962907554960408,0.43525826930999756,0.047764915972948074,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,537.7877,206.8791,1356.2063,70.64228,-0.463489520533048,1.0446339452078326,1.4282584505170008,-2.7390003055908267,-1.1305091,0.51407063,1.0375723,-2.0743575
58,21545.0,0.0,88742.0,58.0,2723.0,88742.0,0.01,3.0,3.0,0.0,5857.761484146118,,,,0.175037483854548,0.06333104268123002,0.45499521493911743,0.057994991540908813,1e-05,0.0,1e-05,1e-05,558.3115,216.56741,1643.2524,108.79153,0.009756964698243118,0.5786863045076547,1.459963032790961,-1.5873716279095347,-0.96453685,0.5360332,1.1814933,-2.0669003
59,22046.0,0.0,90746.0,59.0,2004.0,90746.0,0.01,-10.0,-10.0,0.0,6006.381325006485,,,,0.17987936737388371,0.0655039516853794,0.5061700344085693,0.05613057687878609,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,567.33685,211.55591,1417.3395,124.72979,-0.42309680388025345,1.0924504739106042,1.464722555502067,-2.718683869853374,-1.0792943,0.54820794,1.146732,-2.0868073
60,22738.0,0.0,93514.0,60.0,2768.0,93514.0,0.01,2.0,2.0,0.0,6207.700941085815,,,,0.1641891926214336,0.058209701474845846,0.4444003701210022,0.037477828562259674,1e-05,0.0,1e-05,1e-05,537.68304,209.85974,1283.5154,107.99271,-0.0222972273645251,0.6263508221589047,1.431390492060723,-1.723286216256612,-0.9735513,0.542,1.179103,-2.1969783
61,23444.0,0.0,96337.0,61.0,2823.0,96337.0,0.01,-1.0,-1.0,0.0,6417.195407152176,,,,0.1651349169142703,0.058556479347924933,0.5195704698562622,0.04680299758911133,1e-05,0.0,1e-05,1e-05,528.8563,198.46649,1276.2393,122.61484,-0.0911087876109782,0.5979363267475984,1.4663597958176753,-2.340764892537542,-0.9721943,0.5414398,1.1920713,-2.0815866
62,24153.0,0.0,99173.0,62.0,2836.0,99173.0,0.01,1.0,1.0,0.0,6623.971932172775,,,,0.1751976535932722,0.0644512162629916,0.44734713435173035,0.036015138030052185,1e-05,0.0,1e-05,1e-05,535.75104,203.85336,1384.0073,51.333996,-0.0358266391583189,0.6583457842312013,1.432507393321703,-2.433227494417014,-0.94745994,0.555341,1.2287877,-2.068918
63,24721.0,0.0,99707.0,61.0,2273.0,101446.0,0.01,-6.0,-6.0,0.0,6788.671088218689,,,,0.16613537171514522,0.06444819622315608,0.47180378437042236,0.05215570330619812,1.0000000000000003e-05,1.6940658945086007e-21,1e-05,1e-05,516.28296,211.73647,1257.2559,126.54555,-0.25958478001307655,0.8809684459513863,1.4434889364030437,-2.5950471106197526,-0.97123474,0.5358636,1.2178729,-2.0607898
64,25428.0,0.0,99281.0,58.0,2826.0,104272.0,0.01,2.0,2.0,0.0,6988.358603000641,,,,0.17783509021777943,0.06797015686926852,0.49464333057403564,0.045780085027217865,1e-05,0.0,1e-05,1e-05,535.9059,216.68901,1602.8176,92.22757,-0.020780344155218986,0.7280025393960593,1.4478820430129191,-2.628102123795333,-0.9388211,0.54551595,1.2377802,-2.0694957
65,26146.0,0.0,99242.0,56.0,2873.0,107145.0,0.01,-1.0,-1.0,0.0,7197.271869182587,,,,0.1724296301333519,0.06447995298420399,0.5063949227333069,0.05294330418109894,1e-05,0.0,1e-05,1e-05,519.3828,204.42819,1419.7932,88.61307,-0.07469976269324842,0.7557679584641399,1.5332773173216085,-2.362791694012503,-0.9033805,0.5539867,1.2464904,-2.0564559
66,26769.0,0.0,99924.0,55.0,2492.0,109637.0,0.01,-4.0,-4.0,0.0,7382.331322193146,,,,0.16337079630737128,0.059641200136298506,0.451785147190094,0.04367156699299812,1e-05,0.0,1e-05,1e-05,485.78366,197.19644,1369.679,119.1811,-0.15034181656272225,1.101562757093684,1.557796332356281,-2.7243095946458546,-0.94316804,0.5870411,1.3081899,-2.0642133
