Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
12,2403.0,0.0,12612.0,12.0,1226.0,12612.0,0.40582199999995916,-19.0,-19.0,0.0,615.6271369457245,,,,0.1007223929299788,0.04301552062863729,0.32207927107810974,0.033677347004413605,1e-05,0.0,1e-05,1e-05,535.6849,265.62894,1626.625,113.80669,-1.478026870106955,0.7797576239885221,0.271187781362104,-2.8798300624473714,-1.6235907,0.18684138,-0.81217945,-2.2102194
13,2733.0,0.0,13932.0,13.0,1320.0,13932.0,0.39288599999995355,-17.0,-17.0,0.0,700.4239211082458,,,,0.09350487259075498,0.03548476089955902,0.30463624000549316,0.03573676571249962,9.999999999999999e-06,1.6940658945086007e-21,1e-05,1e-05,477.55273,246.78444,1878.3522,96.18849,-1.2857848283233866,0.7850193259275835,0.41977912493176517,-2.8019413799621646,-1.5802174,0.18030532,-0.5902905,-2.2168925
14,3022.0,0.0,15090.0,14.0,1158.0,15090.0,0.38153759999994863,-18.0,-18.0,0.0,774.5759131908417,,,,0.09127992717710333,0.03451844042960807,0.2713528871536255,0.034969110041856766,1e-05,0.0,1e-05,1e-05,439.75555,223.28224,1288.6315,66.47584,-1.4315404824422375,0.8048765686446556,0.29290907813798095,-2.8613711596115254,-1.555636,0.19400044,0.17660302,-2.2240188
15,3309.0,0.0,16237.0,15.0,1147.0,16237.0,0.37029699999994375,-19.0,-19.0,0.0,850.458544254303,,,,0.10056700805390338,0.038451867361537974,0.25272807478904724,0.03181167319417,1e-05,0.0,1e-05,1e-05,526.6789,256.53555,1384.6686,93.41473,-1.4896127375725214,0.8074767675477501,0.4796594773496936,-2.8442797661407613,-1.5533118,0.1948645,-0.3838576,-2.21823
16,3618.0,0.0,17473.0,16.0,1236.0,17473.0,0.3581841999999385,-17.0,-17.0,0.0,931.7516882419586,,,,0.09553820528933916,0.03150168562694423,0.22756753861904144,0.03515709191560745,1e-05,0.0,1e-05,1e-05,448.3686,212.43027,1292.3878,59.69116,-1.3089002525554632,0.7888305655546495,0.45577392287678775,-2.8402001262291097,-1.531645,0.19169459,-0.29677743,-2.1180048
17,3938.0,0.0,18755.0,17.0,1282.0,18755.0,0.34562059999993305,-17.0,-17.0,0.0,1014.8007023334503,,,,0.09788181617623196,0.03415400855718656,0.25284409523010254,0.037544287741184235,1e-05,0.0,1e-05,1e-05,497.8749,228.8515,1526.5006,47.497444,-1.2889877846791338,0.8341936246103508,0.2511561354773083,-2.8572214842422627,-1.5612112,0.19937846,-0.015116164,-2.4216394
18,4148.0,0.0,19592.0,18.0,837.0,19592.0,0.3374179999999295,-21.0,-21.0,0.0,1069.841943025589,,,,0.10076839621201086,0.03242151586531042,0.25423187017440796,0.04669614136219025,1e-05,0.0,1e-05,1e-05,524.1509,234.86314,1582.6624,61.779766,-2.030174000584053,0.4665557925613001,-0.7105532272722921,-2.827267527638259,-1.5933905,0.20308389,-0.3192682,-2.3343725
19,4436.0,0.0,20745.0,19.0,1153.0,20745.0,0.3261185999999246,-19.0,-19.0,0.0,1144.689602136612,,,,0.10925992686922352,0.0355685290516275,0.28390052914619446,0.04823268577456474,1e-05,0.0,1e-05,1e-05,536.2197,238.2543,1560.6592,110.99264,-1.4563570899312803,0.6672454693277693,0.24600773182565827,-2.730054080544295,-1.4999415,0.19369,-0.21955827,-2.16819
20,4726.0,0.0,21904.0,20.0,1159.0,21904.0,0.31476039999991967,-18.0,-18.0,0.0,1224.0651860237122,,,,0.10050756909467023,0.04429104770062952,0.378673791885376,0.0345814973115921,1e-05,0.0,1e-05,1e-05,461.88773,256.2498,1636.4604,106.045204,-1.4342464419500072,0.7847778397857007,0.395084086136294,-2.84960740810472,-1.5571254,0.18863179,-0.39098147,-2.1990159
21,5020.0,0.0,23081.0,21.0,1177.0,23081.0,0.30322579999991467,-18.0,-18.0,0.0,1302.8237121105194,,,,0.10217465058627988,0.03470877085230626,0.23088984191417694,0.03659452497959137,1e-05,0.0,1e-05,1e-05,478.99414,203.091,1125.604,97.40806,-1.413897923282227,0.8111342490543699,0.26689571049647287,-2.862005472241225,-1.5532016,0.1966014,-0.71230495,-2.2541304
22,5364.0,0.0,24458.0,22.0,1377.0,24458.0,0.2897311999999088,-16.0,-16.0,0.0,1395.8706560134888,,,,0.10088965341145563,0.03412139550210795,0.24925848841667175,0.0368986502289772,1e-05,0.0,1e-05,1e-05,466.4906,212.05061,1346.8512,62.66469,-1.1673642408358131,0.7570112398679077,0.30755536987076904,-2.7343891263588094,-1.5138892,0.19970164,-0.035879266,-2.1963112
23,5747.0,0.0,25990.0,23.0,1532.0,25990.0,0.2747175999999023,-15.0,-15.0,0.0,1499.7280831336975,,,,0.11779764046595863,0.04766824837431799,0.3152984380722046,0.04584384337067604,1e-05,0.0,1e-05,1e-05,550.8186,244.03844,1521.5411,110.3472,-1.0529887739595483,0.7334354765992368,0.43433891280739734,-2.8187980652435445,-1.5045687,0.20331702,-0.20588224,-2.4441671
24,6241.0,0.0,27966.0,24.0,1976.0,27966.0,0.2553527999998939,-11.0,-11.0,0.0,1631.9583532810211,,,,0.11018364822967092,0.04253889548386814,0.374891459941864,0.03732232749462128,1e-05,0.0,1e-05,1e-05,515.2339,251.04036,1838.0609,70.24756,-0.7893564386013605,0.7129644512684042,0.8880570059151274,-2.7610934146317048,-1.4733793,0.18665795,-0.40688238,-2.0925682
25,6548.0,0.0,29193.0,25.0,1227.0,29193.0,0.2433281999998887,-18.0,-18.0,0.0,1716.4793620109558,,,,0.11043336970507128,0.0387458985047472,0.3483717441558838,0.04267994314432144,1e-05,0.0,1e-05,1e-05,501.8227,243.70328,1418.7384,74.74461,-1.3228444286742926,0.7764167941290228,0.49633292838303156,-2.8007656932457112,-1.4476209,0.22509365,-0.064295344,-2.1647727
